age_group,income_group,city_tier,purchase_frequency,preowned_willingness,auth_importance,discount_threshold,trust_score,max_spend,luxe_loop_interest
45+,<25K,Tier 2,Never,No,Low,20-40%,1.37,75864,0
25-34,25-50K,Tier 2,Occasionally,Maybe,Medium,40%+,3.35,107157,0
18-24,2L+,Tier 3,Never,Definitely,High,0%,2.92,294720,1
18-24,25-50K,Tier 1,Rarely,Definitely,Medium,10-20%,3.57,115655,1
25-34,25-50K,Tier 2,Frequently,Definitely,High,0%,1.26,97551,1
45+,<25K,Tier 3,Occasionally,No,Medium,10-20%,3.32,53864,0
45+,1L-2L,Tier 2,Rarely,Maybe,High,0%,3.25,222471,0
25-34,25-50K,Tier 1,Frequently,Definitely,High,0%,3.24,151906,0
18-24,50K-1L,Tier 2,Frequently,No,High,40%+,3.41,194412,1
35-44,1L-2L,Tier 2,Never,No,High,0%,3.71,256668,1
25-34,2L+,Tier 2,Never,Definitely,High,20-40%,4.22,300000,1
25-34,<25K,Tier 2,Rarely,No,High,20-40%,2.08,48726,0
25-34,2L+,Tier 1,Never,No,High,20-40%,4.3,286384,1
18-24,1L-2L,Tier 3,Rarely,Definitely,High,20-40%,2.99,214296,1
45+,1L-2L,Tier 3,Rarely,No,High,40%+,1.31,239711,0
18-24,1L-2L,Tier 2,Rarely,Definitely,Medium,20-40%,1.23,188364,1
25-34,2L+,Tier 1,Never,Definitely,Medium,0%,2.34,291273,1
18-24,1L-2L,Tier 1,Occasionally,No,Low,20-40%,4.14,259259,1
18-24,2L+,Tier 1,Rarely,Definitely,High,40%+,3.83,300000,1
25-34,1L-2L,Tier 1,Occasionally,Definitely,Medium,10-20%,4.15,233306,1
18-24,50K-1L,Tier 1,Frequently,Maybe,Medium,0%,3.07,194946,1
35-44,1L-2L,Tier 1,Never,Definitely,Medium,0%,2.76,273233,1
18-24,2L+,Tier 2,Never,Maybe,Medium,40%+,1.59,253547,1
18-24,25-50K,Tier 3,Occasionally,Maybe,Medium,10-20%,2.31,92399,0
45+,1L-2L,Tier 3,Frequently,Maybe,Medium,20-40%,2.74,189799,1
45+,25-50K,Tier 2,Frequently,Maybe,Low,10-20%,1.35,127754,0
25-34,50K-1L,Tier 3,Rarely,No,Medium,0%,1.88,131136,0
25-34,<25K,Tier 1,Never,No,Low,0%,3.39,76453,0
45+,50K-1L,Tier 1,Frequently,Definitely,Low,0%,3.94,198146,1
35-44,1L-2L,Tier 3,Frequently,Definitely,High,10-20%,4.99,253603,1
18-24,25-50K,Tier 1,Rarely,Definitely,High,20-40%,4.73,155808,0
35-44,25-50K,Tier 1,Rarely,No,High,0%,3.57,140145,0
35-44,2L+,Tier 3,Occasionally,Maybe,Medium,40%+,2.68,300000,1
45+,25-50K,Tier 2,Never,No,High,20-40%,3.54,116353,1
25-34,2L+,Tier 3,Frequently,No,Medium,0%,4.14,277860,1
18-24,<25K,Tier 3,Occasionally,Definitely,Medium,20-40%,1.47,49246,0
25-34,1L-2L,Tier 3,Never,Definitely,High,40%+,2.64,243003,1
35-44,2L+,Tier 3,Occasionally,Definitely,High,10-20%,4.36,300000,1
35-44,<25K,Tier 2,Never,Maybe,Low,0%,2.54,84424,0
25-34,25-50K,Tier 2,Never,Maybe,Low,40%+,3.29,156569,0
25-34,25-50K,Tier 1,Frequently,No,Medium,0%,3.35,109939,0
45+,<25K,Tier 1,Never,Maybe,Medium,0%,1.74,100744,0
25-34,25-50K,Tier 3,Rarely,Definitely,High,10-20%,2.45,154964,0
25-34,<25K,Tier 1,Frequently,Maybe,High,10-20%,2.34,88112,0
45+,2L+,Tier 2,Rarely,Maybe,Low,20-40%,1.1,296635,1
25-34,2L+,Tier 1,Occasionally,Maybe,High,40%+,1.1,227867,1
35-44,<25K,Tier 1,Occasionally,Maybe,Medium,40%+,4.33,82811,0
25-34,2L+,Tier 1,Never,Definitely,High,10-20%,2.09,256193,1
18-24,2L+,Tier 3,Never,Definitely,Low,0%,3.07,295129,1
35-44,2L+,Tier 1,Rarely,No,Medium,20-40%,2.19,250897,1
45+,50K-1L,Tier 2,Rarely,No,Low,10-20%,4.76,212749,1
35-44,1L-2L,Tier 2,Rarely,No,Low,20-40%,2.04,247810,1
45+,25-50K,Tier 2,Occasionally,Maybe,Medium,20-40%,2.72,141104,0
18-24,50K-1L,Tier 2,Rarely,Maybe,Low,40%+,4.49,200575,1
18-24,2L+,Tier 1,Frequently,Definitely,High,20-40%,4.37,273942,1
35-44,<25K,Tier 3,Frequently,No,High,40%+,1.74,50462,0
25-34,2L+,Tier 2,Occasionally,Definitely,Low,0%,4.21,300000,1
35-44,1L-2L,Tier 2,Rarely,No,High,0%,2.83,243886,1
35-44,2L+,Tier 3,Rarely,No,Low,10-20%,2.93,278519,1
18-24,<25K,Tier 3,Never,No,High,0%,1.53,56941,0
45+,1L-2L,Tier 2,Frequently,Maybe,Low,40%+,1.32,172683,1
35-44,2L+,Tier 2,Occasionally,No,High,20-40%,3.91,267682,1
25-34,1L-2L,Tier 3,Rarely,No,Medium,20-40%,2.99,268128,1
18-24,25-50K,Tier 2,Never,Maybe,Medium,0%,2.75,101890,0
35-44,25-50K,Tier 2,Occasionally,No,High,40%+,3.92,142989,1
35-44,2L+,Tier 1,Occasionally,Maybe,Low,20-40%,4.06,300000,1
25-34,1L-2L,Tier 3,Frequently,Maybe,High,0%,1.64,191301,1
35-44,<25K,Tier 1,Rarely,Definitely,Low,40%+,3.44,88094,0
35-44,2L+,Tier 1,Occasionally,Maybe,High,40%+,1.54,284158,1
35-44,25-50K,Tier 3,Never,Maybe,High,20-40%,4.01,140349,0
35-44,25-50K,Tier 1,Never,Maybe,Medium,10-20%,3.63,193668,0
25-34,2L+,Tier 2,Occasionally,No,Low,10-20%,4.83,264928,1
35-44,1L-2L,Tier 1,Never,Definitely,Low,40%+,1.28,233974,1
35-44,25-50K,Tier 3,Occasionally,No,Low,40%+,1.23,108843,0
35-44,1L-2L,Tier 2,Never,Maybe,Low,0%,2.13,236738,1
18-24,25-50K,Tier 2,Occasionally,Maybe,Low,40%+,2.05,129326,0
25-34,25-50K,Tier 2,Occasionally,Definitely,Medium,0%,1.99,105236,0
18-24,50K-1L,Tier 2,Occasionally,Definitely,High,0%,4.63,200879,1
18-24,25-50K,Tier 1,Never,Maybe,Low,0%,2.0,82841,0
25-34,<25K,Tier 1,Occasionally,Maybe,Low,40%+,2.09,82964,0
18-24,2L+,Tier 2,Frequently,No,High,40%+,4.04,296363,1
18-24,2L+,Tier 3,Occasionally,Maybe,Medium,0%,2.8,290773,1
18-24,1L-2L,Tier 2,Rarely,No,Medium,20-40%,4.11,262262,1
25-34,25-50K,Tier 1,Rarely,Definitely,Medium,40%+,1.26,119952,0
35-44,<25K,Tier 2,Frequently,No,High,10-20%,2.95,82461,0
45+,1L-2L,Tier 1,Occasionally,Maybe,High,20-40%,1.13,193678,1
45+,50K-1L,Tier 2,Rarely,No,Medium,10-20%,1.25,148255,0
25-34,1L-2L,Tier 3,Occasionally,No,Medium,40%+,4.63,270034,1
45+,1L-2L,Tier 2,Rarely,Definitely,High,20-40%,1.56,244326,1
25-34,25-50K,Tier 3,Never,No,Medium,40%+,3.13,126537,1
25-34,50K-1L,Tier 3,Never,Maybe,Low,40%+,2.64,177320,0
45+,1L-2L,Tier 2,Frequently,No,High,20-40%,2.39,205807,1
18-24,<25K,Tier 3,Frequently,No,Medium,40%+,4.6,119455,0
35-44,<25K,Tier 3,Occasionally,No,Low,20-40%,1.09,74208,0
45+,2L+,Tier 1,Frequently,Maybe,High,40%+,3.66,300000,1
45+,50K-1L,Tier 1,Occasionally,No,High,0%,4.85,180933,1
45+,50K-1L,Tier 3,Never,Maybe,Low,10-20%,3.24,174839,1
45+,2L+,Tier 2,Never,No,High,0%,4.75,300000,1
25-34,1L-2L,Tier 3,Rarely,Definitely,Medium,40%+,1.21,225029,1
25-34,50K-1L,Tier 2,Occasionally,Definitely,High,40%+,2.68,172486,1
35-44,<25K,Tier 1,Never,Definitely,Medium,40%+,2.04,52940,1
35-44,<25K,Tier 2,Never,Maybe,Low,0%,3.92,106828,0
45+,25-50K,Tier 3,Occasionally,Maybe,Low,40%+,4.93,163722,1
45+,50K-1L,Tier 3,Rarely,Maybe,High,20-40%,2.03,151974,0
45+,1L-2L,Tier 3,Rarely,No,Low,10-20%,3.62,263308,1
35-44,2L+,Tier 3,Rarely,Maybe,Low,40%+,1.79,291303,1
45+,2L+,Tier 3,Rarely,Maybe,High,40%+,3.26,285285,1
18-24,1L-2L,Tier 2,Never,Maybe,Medium,10-20%,2.86,230191,1
35-44,25-50K,Tier 3,Occasionally,Maybe,High,10-20%,4.89,159981,1
18-24,2L+,Tier 1,Occasionally,Definitely,High,10-20%,3.43,267065,1
45+,50K-1L,Tier 3,Never,No,Medium,0%,2.4,174600,1
25-34,25-50K,Tier 2,Never,Definitely,Medium,0%,1.46,71552,0
18-24,50K-1L,Tier 3,Never,No,Medium,40%+,1.6,183529,1
35-44,<25K,Tier 3,Frequently,No,High,10-20%,1.9,37770,0
18-24,25-50K,Tier 2,Occasionally,Definitely,Medium,40%+,2.0,150068,0
35-44,2L+,Tier 3,Occasionally,Maybe,Low,40%+,4.4,287397,1
45+,25-50K,Tier 2,Occasionally,Definitely,Medium,40%+,3.24,128166,1
18-24,25-50K,Tier 3,Rarely,No,Low,0%,3.09,118345,0
25-34,25-50K,Tier 1,Never,No,Medium,10-20%,1.46,108839,0
18-24,25-50K,Tier 3,Never,Maybe,Low,40%+,4.44,172770,1
25-34,50K-1L,Tier 2,Never,Definitely,Low,0%,3.89,139143,1
35-44,<25K,Tier 1,Frequently,No,Low,20-40%,1.27,88239,0
45+,1L-2L,Tier 2,Occasionally,Definitely,Low,20-40%,3.83,245060,1
45+,25-50K,Tier 3,Never,Maybe,Low,40%+,3.17,107559,1
25-34,2L+,Tier 1,Frequently,Maybe,Medium,40%+,1.33,241793,1
35-44,25-50K,Tier 2,Never,No,High,10-20%,2.83,161827,0
45+,2L+,Tier 1,Rarely,Maybe,High,10-20%,2.94,260489,1
35-44,50K-1L,Tier 1,Occasionally,No,High,40%+,1.66,143532,1
25-34,2L+,Tier 2,Frequently,No,High,0%,4.78,300000,1
25-34,1L-2L,Tier 1,Never,Maybe,High,40%+,4.4,250771,1
18-24,<25K,Tier 2,Occasionally,Maybe,Low,10-20%,3.68,68041,0
45+,2L+,Tier 1,Frequently,Definitely,Medium,10-20%,2.85,282832,1
45+,2L+,Tier 1,Occasionally,Definitely,Low,0%,2.65,255984,1
18-24,<25K,Tier 1,Occasionally,No,Medium,40%+,3.6,108016,0
25-34,1L-2L,Tier 3,Rarely,Definitely,Medium,10-20%,3.18,253027,1
25-34,25-50K,Tier 3,Occasionally,No,Medium,40%+,1.25,123140,0
25-34,2L+,Tier 2,Frequently,Maybe,Medium,10-20%,3.05,287733,1
25-34,<25K,Tier 1,Occasionally,Maybe,High,20-40%,4.23,127523,0
35-44,50K-1L,Tier 2,Frequently,Definitely,Medium,20-40%,2.84,178393,0
45+,<25K,Tier 3,Occasionally,No,Medium,20-40%,1.21,38462,0
45+,50K-1L,Tier 3,Never,No,High,10-20%,4.15,200489,1
25-34,1L-2L,Tier 3,Rarely,Definitely,Low,0%,1.81,259820,1
25-34,25-50K,Tier 3,Never,No,Low,20-40%,2.03,100004,0
25-34,<25K,Tier 2,Rarely,No,Low,10-20%,1.66,59370,0
45+,2L+,Tier 1,Frequently,Maybe,Low,40%+,2.32,281528,1
45+,1L-2L,Tier 2,Rarely,No,Medium,20-40%,4.03,239221,1
25-34,<25K,Tier 1,Occasionally,No,High,0%,3.08,61153,0
35-44,2L+,Tier 3,Occasionally,No,High,0%,1.82,290637,1
18-24,<25K,Tier 1,Never,Definitely,Low,0%,4.51,141500,0
18-24,50K-1L,Tier 3,Rarely,Definitely,High,40%+,4.52,199122,1
18-24,<25K,Tier 2,Frequently,Definitely,Medium,40%+,4.48,76718,0
45+,<25K,Tier 1,Frequently,No,Low,0%,1.96,38620,0
45+,<25K,Tier 2,Occasionally,No,Medium,0%,2.8,83159,0
18-24,1L-2L,Tier 3,Frequently,Definitely,Medium,0%,4.94,271477,1
18-24,<25K,Tier 2,Occasionally,Definitely,Medium,40%+,4.09,100403,0
35-44,2L+,Tier 3,Occasionally,No,Medium,40%+,1.11,261051,1
45+,50K-1L,Tier 3,Occasionally,No,Medium,10-20%,1.26,150814,0
45+,50K-1L,Tier 3,Never,Maybe,Low,20-40%,2.86,156756,1
18-24,<25K,Tier 2,Never,Definitely,Medium,40%+,4.64,113095,0
35-44,1L-2L,Tier 2,Occasionally,No,Low,0%,3.15,249775,1
35-44,1L-2L,Tier 1,Occasionally,Definitely,High,20-40%,2.99,198985,1
18-24,2L+,Tier 1,Occasionally,Definitely,Medium,40%+,1.42,295996,1
18-24,<25K,Tier 2,Frequently,Definitely,Medium,20-40%,3.63,97781,1
45+,50K-1L,Tier 2,Occasionally,Maybe,High,10-20%,4.29,220891,1
18-24,1L-2L,Tier 2,Occasionally,No,Low,40%+,2.52,198357,1
25-34,<25K,Tier 2,Rarely,No,Medium,0%,4.1,63683,0
35-44,1L-2L,Tier 3,Rarely,Definitely,High,0%,4.86,245620,1
18-24,1L-2L,Tier 3,Rarely,No,High,10-20%,1.82,228255,1
25-34,50K-1L,Tier 3,Rarely,Maybe,Medium,10-20%,3.09,216827,1
35-44,25-50K,Tier 2,Occasionally,Definitely,Low,10-20%,2.15,135621,0
25-34,2L+,Tier 3,Rarely,Maybe,Low,10-20%,4.17,286846,1
25-34,2L+,Tier 3,Frequently,Maybe,Medium,10-20%,3.31,262572,1
18-24,50K-1L,Tier 1,Frequently,No,High,40%+,3.54,210000,1
35-44,1L-2L,Tier 1,Rarely,No,Medium,40%+,4.19,222605,1
25-34,<25K,Tier 3,Never,Maybe,Low,20-40%,2.58,108369,0
45+,1L-2L,Tier 3,Frequently,No,High,10-20%,4.66,240912,1
35-44,50K-1L,Tier 3,Frequently,Maybe,Medium,0%,3.13,213111,0
45+,2L+,Tier 2,Rarely,Maybe,High,0%,1.63,279878,0
18-24,1L-2L,Tier 1,Rarely,Definitely,Low,10-20%,3.78,235060,1
45+,2L+,Tier 1,Occasionally,Maybe,Low,10-20%,4.17,281312,1
35-44,<25K,Tier 1,Frequently,Maybe,Low,10-20%,2.27,65881,0
25-34,2L+,Tier 3,Rarely,No,Medium,10-20%,4.43,300000,1
25-34,2L+,Tier 2,Rarely,Definitely,High,10-20%,4.62,297743,1
35-44,25-50K,Tier 1,Occasionally,No,Medium,0%,2.11,109223,0
25-34,25-50K,Tier 1,Frequently,Definitely,Medium,20-40%,4.93,145987,1
45+,25-50K,Tier 2,Rarely,No,Medium,10-20%,1.56,117171,0
25-34,2L+,Tier 3,Occasionally,Maybe,Medium,10-20%,1.81,225525,1
25-34,50K-1L,Tier 3,Rarely,Definitely,High,10-20%,1.74,176563,0
45+,2L+,Tier 1,Never,Definitely,High,40%+,4.58,276205,1
45+,50K-1L,Tier 1,Never,Definitely,Medium,0%,3.62,163133,1
45+,50K-1L,Tier 2,Rarely,Definitely,Medium,0%,1.61,132353,0
18-24,25-50K,Tier 1,Frequently,No,Low,20-40%,2.76,91722,0
45+,1L-2L,Tier 2,Never,No,Low,40%+,3.46,207491,1
45+,<25K,Tier 1,Occasionally,Definitely,High,40%+,1.33,49119,0
18-24,25-50K,Tier 1,Rarely,Definitely,Low,40%+,4.53,184365,0
25-34,25-50K,Tier 1,Occasionally,Definitely,High,20-40%,4.21,131582,1
45+,1L-2L,Tier 3,Never,No,High,20-40%,3.02,233755,1
35-44,<25K,Tier 2,Frequently,Definitely,High,20-40%,4.87,106709,0
45+,2L+,Tier 2,Occasionally,Definitely,Low,40%+,2.67,279321,1
45+,2L+,Tier 3,Never,Definitely,Low,0%,4.94,297851,1
18-24,25-50K,Tier 3,Never,No,High,40%+,3.67,112794,0
35-44,<25K,Tier 3,Never,Maybe,High,20-40%,3.54,114418,0
25-34,25-50K,Tier 2,Occasionally,Maybe,Medium,40%+,1.66,152743,0
25-34,50K-1L,Tier 1,Never,No,High,10-20%,4.53,161646,1
35-44,25-50K,Tier 3,Rarely,Maybe,High,40%+,2.71,106619,1
45+,25-50K,Tier 3,Never,Definitely,Medium,40%+,1.65,110903,1
18-24,2L+,Tier 3,Rarely,Definitely,High,0%,1.05,241209,0
35-44,2L+,Tier 1,Frequently,No,High,0%,3.24,292519,1
35-44,2L+,Tier 1,Rarely,No,High,0%,3.11,266534,1
25-34,50K-1L,Tier 3,Frequently,Maybe,Medium,10-20%,3.88,232101,1
18-24,2L+,Tier 1,Frequently,Maybe,Low,0%,4.56,300000,1
35-44,<25K,Tier 3,Rarely,Definitely,High,10-20%,1.32,67451,0
18-24,1L-2L,Tier 1,Frequently,No,Medium,20-40%,3.93,259839,1
45+,<25K,Tier 2,Rarely,Maybe,High,0%,1.75,89618,0
25-34,<25K,Tier 2,Occasionally,Maybe,Medium,40%+,4.43,83021,0
45+,2L+,Tier 1,Frequently,Definitely,High,40%+,4.28,276475,1
18-24,1L-2L,Tier 2,Rarely,Definitely,Medium,10-20%,3.16,233162,1
45+,1L-2L,Tier 2,Frequently,Definitely,Low,0%,3.84,255632,1
25-34,1L-2L,Tier 2,Never,Definitely,Low,40%+,2.26,225381,0
18-24,50K-1L,Tier 3,Rarely,Maybe,Low,20-40%,2.88,147260,0
35-44,2L+,Tier 1,Never,No,High,0%,4.29,276843,1
45+,1L-2L,Tier 1,Frequently,No,Medium,20-40%,2.84,226920,1
25-34,50K-1L,Tier 1,Frequently,Definitely,High,40%+,2.43,172786,1
35-44,25-50K,Tier 2,Occasionally,Definitely,High,0%,2.98,169250,0
25-34,25-50K,Tier 3,Rarely,Maybe,Medium,10-20%,4.31,115380,1
18-24,50K-1L,Tier 1,Never,Definitely,High,40%+,2.34,183511,1
18-24,50K-1L,Tier 2,Occasionally,No,Medium,20-40%,1.7,196782,1
45+,2L+,Tier 3,Frequently,Definitely,Medium,0%,3.85,300000,1
25-34,2L+,Tier 3,Frequently,No,Low,20-40%,4.3,284912,1
25-34,25-50K,Tier 1,Occasionally,Definitely,Low,20-40%,1.4,123828,0
25-34,1L-2L,Tier 1,Never,Definitely,Low,10-20%,1.96,230995,1
18-24,25-50K,Tier 2,Frequently,No,Medium,10-20%,1.57,119609,0
45+,1L-2L,Tier 1,Frequently,Maybe,Low,40%+,2.39,221923,1
25-34,1L-2L,Tier 2,Rarely,Maybe,Medium,10-20%,2.8,236719,1
25-34,2L+,Tier 3,Occasionally,Definitely,High,10-20%,4.0,239355,1
35-44,<25K,Tier 3,Frequently,Definitely,Low,40%+,3.6,99641,0
25-34,<25K,Tier 3,Never,No,Medium,40%+,3.48,87323,0
45+,50K-1L,Tier 3,Rarely,No,Medium,40%+,2.41,169650,0
35-44,2L+,Tier 1,Occasionally,Definitely,Medium,40%+,4.37,300000,1
35-44,1L-2L,Tier 1,Never,No,Medium,20-40%,2.89,215401,1
35-44,<25K,Tier 2,Frequently,Maybe,Low,20-40%,4.92,91138,0
18-24,1L-2L,Tier 2,Occasionally,Maybe,Low,40%+,3.54,275231,1
35-44,<25K,Tier 2,Occasionally,No,Low,40%+,1.51,48458,0
25-34,<25K,Tier 2,Never,No,Medium,0%,3.7,75997,0
18-24,<25K,Tier 2,Occasionally,No,High,0%,2.3,70059,0
18-24,2L+,Tier 3,Never,Maybe,Medium,0%,3.75,300000,1
18-24,25-50K,Tier 3,Frequently,Definitely,High,10-20%,1.28,116956,0
18-24,1L-2L,Tier 3,Rarely,No,Low,20-40%,1.7,191147,1
18-24,2L+,Tier 2,Never,No,Medium,20-40%,4.42,283556,1
18-24,2L+,Tier 3,Rarely,No,Medium,0%,1.91,256952,1
18-24,2L+,Tier 3,Occasionally,Definitely,Low,0%,4.35,291955,1
35-44,2L+,Tier 3,Never,No,Medium,20-40%,2.12,279716,1
45+,2L+,Tier 3,Frequently,No,High,10-20%,3.57,294064,1
25-34,50K-1L,Tier 1,Never,Maybe,High,0%,3.78,152279,1
25-34,1L-2L,Tier 2,Never,No,High,40%+,3.05,251778,1
35-44,2L+,Tier 2,Never,Maybe,Medium,0%,2.22,277251,1
35-44,1L-2L,Tier 1,Rarely,Definitely,Medium,20-40%,1.85,246190,1
18-24,50K-1L,Tier 3,Rarely,No,High,20-40%,1.13,170183,0
45+,50K-1L,Tier 3,Occasionally,No,Medium,0%,2.22,194226,0
18-24,1L-2L,Tier 3,Occasionally,Maybe,High,0%,3.61,245430,1
35-44,<25K,Tier 2,Occasionally,Definitely,Low,40%+,4.75,124424,0
18-24,25-50K,Tier 2,Occasionally,Definitely,High,40%+,4.48,155245,1
25-34,<25K,Tier 2,Never,Maybe,Low,10-20%,4.06,88641,0
25-34,<25K,Tier 2,Rarely,Definitely,Low,10-20%,4.15,136948,0
18-24,<25K,Tier 2,Rarely,Definitely,Low,40%+,3.66,104380,0
45+,2L+,Tier 1,Rarely,Definitely,High,10-20%,2.04,281874,1
18-24,50K-1L,Tier 2,Rarely,Definitely,High,10-20%,4.63,170773,1
18-24,<25K,Tier 3,Occasionally,Definitely,Medium,0%,3.68,61033,0
45+,50K-1L,Tier 2,Never,Definitely,Medium,40%+,3.24,188254,1
45+,1L-2L,Tier 1,Rarely,Definitely,Low,0%,1.44,217310,1
45+,25-50K,Tier 3,Frequently,Definitely,High,0%,2.79,115617,0
25-34,1L-2L,Tier 1,Never,No,Medium,10-20%,2.84,231219,1
18-24,1L-2L,Tier 3,Frequently,Maybe,Medium,0%,4.46,276372,1
35-44,2L+,Tier 2,Never,Definitely,Medium,20-40%,3.19,295808,1
45+,25-50K,Tier 1,Never,Maybe,High,10-20%,2.52,102379,0
45+,1L-2L,Tier 3,Never,Definitely,Medium,20-40%,4.91,246869,1
18-24,1L-2L,Tier 2,Frequently,Definitely,Low,10-20%,1.44,198300,1
35-44,25-50K,Tier 3,Rarely,No,High,0%,2.69,119146,0
18-24,25-50K,Tier 1,Rarely,Maybe,Medium,10-20%,1.17,103427,0
18-24,1L-2L,Tier 1,Frequently,Maybe,Medium,20-40%,3.96,230047,1
45+,25-50K,Tier 1,Rarely,No,High,10-20%,4.67,121597,1
45+,1L-2L,Tier 1,Occasionally,No,Medium,20-40%,2.12,218646,1
25-34,1L-2L,Tier 2,Rarely,Maybe,Medium,40%+,4.43,233087,1
35-44,2L+,Tier 3,Occasionally,Definitely,Low,0%,2.17,213111,1
35-44,<25K,Tier 2,Occasionally,Definitely,High,20-40%,4.64,137459,1
45+,1L-2L,Tier 1,Occasionally,Maybe,Medium,40%+,4.02,261975,1
45+,50K-1L,Tier 3,Frequently,Definitely,High,0%,4.22,184673,1
45+,<25K,Tier 1,Rarely,No,High,40%+,1.07,61076,0
35-44,<25K,Tier 2,Rarely,No,Low,20-40%,4.85,75066,0
25-34,<25K,Tier 2,Frequently,No,Low,0%,3.91,123014,0
35-44,2L+,Tier 2,Frequently,Maybe,High,40%+,2.22,300000,1
45+,1L-2L,Tier 3,Rarely,Maybe,Low,20-40%,4.32,246333,1
45+,2L+,Tier 3,Frequently,Maybe,Low,40%+,2.13,291770,1
25-34,1L-2L,Tier 1,Frequently,Definitely,Medium,0%,4.49,248405,1
18-24,2L+,Tier 3,Occasionally,Maybe,Low,0%,1.45,237765,1
18-24,2L+,Tier 3,Frequently,Maybe,Low,0%,3.81,279863,1
35-44,50K-1L,Tier 2,Occasionally,No,Medium,20-40%,3.16,184238,1
18-24,2L+,Tier 1,Never,Definitely,Medium,40%+,1.39,254809,1
18-24,25-50K,Tier 2,Occasionally,Definitely,High,40%+,1.97,115326,0
35-44,50K-1L,Tier 1,Occasionally,No,Low,20-40%,1.05,158672,1
45+,2L+,Tier 1,Frequently,Definitely,Medium,0%,2.88,277182,1
18-24,<25K,Tier 3,Rarely,Maybe,Low,10-20%,2.21,73145,0
45+,25-50K,Tier 2,Never,Definitely,High,0%,3.39,112687,0
35-44,25-50K,Tier 3,Never,No,Low,10-20%,2.19,107559,0
45+,25-50K,Tier 3,Never,Definitely,Low,0%,2.2,96308,1
45+,50K-1L,Tier 3,Rarely,No,Low,20-40%,3.97,209256,1
35-44,2L+,Tier 1,Never,Maybe,Medium,10-20%,1.19,219787,1
45+,2L+,Tier 2,Never,Maybe,Medium,20-40%,4.61,300000,1
18-24,<25K,Tier 2,Rarely,No,High,10-20%,4.41,121826,1
18-24,<25K,Tier 3,Never,Maybe,Low,40%+,3.67,80656,1
18-24,25-50K,Tier 1,Frequently,Maybe,High,10-20%,3.37,81637,1
18-24,<25K,Tier 2,Frequently,Definitely,High,10-20%,4.57,88473,0
45+,50K-1L,Tier 2,Occasionally,Maybe,Medium,10-20%,1.74,166116,0
18-24,2L+,Tier 3,Occasionally,No,Low,40%+,1.32,242988,0
45+,25-50K,Tier 1,Occasionally,Maybe,Low,20-40%,1.96,109295,0
25-34,<25K,Tier 3,Frequently,Definitely,High,40%+,4.18,122403,0
45+,50K-1L,Tier 2,Frequently,No,Low,10-20%,1.14,174698,0
18-24,50K-1L,Tier 1,Frequently,Maybe,Medium,0%,3.33,164808,0
25-34,<25K,Tier 3,Occasionally,Maybe,High,40%+,4.98,67848,0
35-44,2L+,Tier 2,Occasionally,Maybe,High,0%,4.42,287659,1
45+,<25K,Tier 3,Occasionally,No,Medium,40%+,3.09,76630,0
18-24,25-50K,Tier 3,Occasionally,Definitely,Medium,40%+,1.25,122423,0
18-24,<25K,Tier 3,Occasionally,No,Medium,10-20%,4.33,82593,1
18-24,50K-1L,Tier 1,Occasionally,No,Medium,20-40%,3.4,194229,1
35-44,<25K,Tier 2,Frequently,Definitely,Medium,20-40%,1.46,103303,0
25-34,2L+,Tier 2,Rarely,No,Medium,10-20%,1.38,280110,1
25-34,1L-2L,Tier 2,Rarely,No,High,40%+,4.64,245438,1
18-24,<25K,Tier 2,Occasionally,Maybe,Low,20-40%,3.68,83136,0
45+,2L+,Tier 1,Rarely,No,Low,20-40%,4.32,286066,1
18-24,2L+,Tier 3,Rarely,Maybe,High,20-40%,4.52,300000,1
18-24,50K-1L,Tier 2,Frequently,No,Low,10-20%,3.29,170353,1
45+,2L+,Tier 1,Occasionally,Maybe,Low,0%,3.07,281604,1
18-24,2L+,Tier 3,Occasionally,Maybe,High,0%,2.72,278223,1
35-44,2L+,Tier 1,Rarely,Maybe,Low,0%,2.27,262664,1
18-24,2L+,Tier 1,Occasionally,Definitely,Low,0%,2.74,249950,1
35-44,25-50K,Tier 2,Occasionally,No,High,0%,4.1,147459,0
18-24,25-50K,Tier 2,Occasionally,No,Low,20-40%,3.41,132879,0
25-34,50K-1L,Tier 3,Occasionally,No,Medium,20-40%,4.57,205704,1
45+,<25K,Tier 3,Rarely,Definitely,High,40%+,2.77,67027,0
25-34,2L+,Tier 2,Never,Maybe,Low,20-40%,3.43,300000,1
18-24,<25K,Tier 1,Rarely,No,Low,10-20%,3.53,67764,0
18-24,<25K,Tier 2,Frequently,Definitely,Medium,40%+,3.37,117940,0
35-44,50K-1L,Tier 3,Never,Definitely,High,20-40%,3.81,153147,1
18-24,2L+,Tier 1,Never,No,High,40%+,1.95,278195,1
18-24,2L+,Tier 1,Never,Maybe,Low,40%+,3.05,290008,1
18-24,1L-2L,Tier 1,Rarely,Definitely,Medium,0%,1.42,198288,1
25-34,<25K,Tier 2,Frequently,No,Medium,40%+,2.54,83887,0
35-44,<25K,Tier 2,Rarely,Maybe,Medium,20-40%,2.95,105090,0
25-34,25-50K,Tier 3,Frequently,Definitely,Medium,0%,3.61,91763,0
35-44,1L-2L,Tier 1,Rarely,Definitely,Medium,20-40%,4.8,258054,1
25-34,25-50K,Tier 1,Rarely,No,Medium,0%,3.4,84134,0
18-24,25-50K,Tier 2,Rarely,No,High,20-40%,3.97,120386,1
